score, window_size, features, neighbors
0.7522234440489729,35,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy']",20
0.7522150669044095,20,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",20
0.7521438527607047,20,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",10
0.7521105708461372,20,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",25
0.7520645029645954,35,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",50
0.7519248942034966,40,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",50
0.7518955660227509,35,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",25
0.7518953199482734,25,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",15
0.7517388336125502,20,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy']",10
0.7517319403188321,40,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",25
0.7516180190092074,30,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",20
0.7515235044305038,25,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",25
0.7513300999892649,20,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",20
0.7511277174367115,30,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",7
0.7510630814538042,35,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",20
0.7509874109582151,30,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",10
0.7507520124936239,40,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",20
0.7507203216992517,25,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",20
0.7506330137802016,40,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy']",25
0.7505627042639136,35,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",25
0.7503782022350968,30,"['R_mf', 'G_mf', 'B_mf', 'h_mf', 's_mf', 'v_mf']",25
0.7503259643982951,20,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",15
0.7501079253120005,35,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",20
0.7495245875395168,40,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy']",20
0.7494620007844635,25,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",10
0.7494139645304946,25,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",7
0.7493410607475346,40,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",25
0.7491886382453535,35,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",25
0.7491886184975228,40,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",50
0.749153913382049,35,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",15
0.7489720835073304,35,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy']",15
0.74867761622923,40,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",20
0.7485789076470457,30,"['R_mf', 'G_mf', 'B_mf', 'h_mf', 's_mf', 'v_mf']",20
0.7485778420407009,20,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",7
0.7485267322920657,40,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",25
0.7484564856302589,25,"['R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'h_variance', 's_variance', 'v_variance']",50
0.7482327206775665,40,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",20
0.7481814728222063,35,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",20
0.7481629221733195,25,"['R_mf', 'G_mf', 'B_mf', 'h_mf', 's_mf', 'v_mf']",50
0.7480618998619992,40,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",15
0.7480120229426755,35,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",15
0.7479278598310066,20,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",10
0.7477818064341855,35,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",10
0.747696062414349,30,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",5
0.7476781554853735,25,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy']",7
0.7476718002214432,30,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",15
0.7476650772552749,20,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",15
0.7474866473692614,25,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",15
0.7473357712354395,25,"['R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'h_mf', 's_mf', 'v_mf']",50
0.7472613198548962,40,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",15
0.7471574499723419,40,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy']",15
0.7468142936908783,25,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",5
0.7467264320231539,20,"['R_mf', 'G_mf', 'B_mf', 'h_mf', 's_mf', 'v_mf']",50
0.746622783380547,30,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy']",7
0.7466151096741693,25,"['R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'h_variance', 's_variance', 'v_variance']",25
0.746492027231486,35,"['R_mf', 'G_mf', 'B_mf', 'h_mf', 's_mf', 'v_mf']",50
0.7462170781953159,25,"['R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'h_variance', 's_variance', 'v_variance']",20
0.7459597796269968,40,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",10
0.745911155678352,20,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy']",7
0.7459076635026521,35,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy']",10
0.7453565140450277,25,"['R_mf', 'G_mf', 'B_mf', 'h_mf', 's_mf', 'v_mf']",20
0.7453369260881602,20,"['R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'h_mf', 's_mf', 'v_mf']",50
0.7453224773322984,40,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",10
0.7452038348029024,30,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",7
0.7451811778618741,25,"['R_mf', 'G_mf', 'B_mf', 'h_mf', 's_mf', 'v_mf']",25
0.7450887601309335,30,"['R_mf', 'G_mf', 'B_mf', 'h_mf', 's_mf', 'v_mf', 'hsv_sin', 'hsv_cos']",20
0.7450499150374367,20,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",5
0.7450230994884462,30,"['R_mf', 'G_mf', 'B_mf', 'h_mf', 's_mf', 'v_mf']",15
0.7448567622464829,35,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",10
0.7447648824828503,40,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",15
0.7446529691473153,30,"['R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'hsv_sin', 'hsv_cos']",50
0.7443911833595676,30,"['R_mf', 'G_mf', 'B_mf', 'h_variance', 's_variance', 'v_variance', 'hsv_sin', 'hsv_cos']",50
0.7443909950655312,35,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",15
0.7443498703253434,40,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance', 'entropy']",10
0.7443153772639638,25,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'entropy']",7
0.7441387644535808,30,"['R_mf', 'G_mf', 'B_mf', 'h_mf', 's_mf', 'v_mf', 'hsv_sin', 'hsv_cos']",25
0.7441125799687445,20,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",10
0.7440386658530266,25,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",10
0.7438414503240289,35,"['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'entropy']",7
0.7437695479887231,25,"['R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'h_variance', 's_variance', 'v_variance']",15
0.7437045381316221,30,"['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'entropy']",10
0.7436537301566171,25,"['R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'hsv_sin', 'hsv_cos']",20
0.7436535866322588,35,"['R_mf', 'G_mf', 'B_mf', 'h_mf', 's_mf', 'v_mf']",25
0.7434579128782354,25,"['R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance', 'hsv_sin', 'hsv_cos']",50
